experiment_id,temperature_c,pressure_kpa,reaction_time_h,yield_percent,catalyst_type,ph_level
1,25.3,101.5,2.5,78.2,A,7.1
2,30.1,105.2,3.0,82.5,B,7.3
3,20.8,98.7,2.0,74.1,A,6.9
4,35.0,110.3,3.5,85.7,B,7.5
5,28.5,103.8,2.8,80.3,A,7.2
6,22.1,99.4,2.2,76.8,B,6.8
7,38.2,115.6,4.0,88.9,A,7.6
8,26.7,102.1,2.6,79.1,B,7.0
9,31.8,108.7,3.2,83.4,A,7.4
10,24.5,100.8,2.4,77.6,B,7.1
11,29.9,107.2,2.9,81.7,A,7.3
12,33.4,112.9,3.6,86.2,B,7.5
13,27.2,104.5,2.7,80.0,A,7.2
14,21.6,97.3,2.1,75.3,B,6.9
15,36.7,113.8,3.8,87.4,A,7.6
16,25.8,101.9,2.5,78.9,B,7.0
17,32.1,109.4,3.3,84.1,A,7.4
18,23.9,99.1,2.3,77.1,B,7.1
19,37.5,116.2,3.9,88.1,A,7.7
20,28.1,103.2,2.7,79.8,B,7.2
21,30.8,108.1,3.1,82.9,A,7.3
22,26.3,102.6,2.6,79.3,B,7.0
23,34.6,111.5,3.7,86.8,A,7.5
24,22.8,98.9,2.2,76.5,B,6.9
25,31.5,107.8,3.2,83.8,A,7.4
26,24.9,101.2,2.5,78.4,B,7.1
27,29.3,105.9,2.8,81.2,A,7.2
28,35.8,114.1,3.8,87.7,B,7.6
29,27.6,104.1,2.7,80.1,A,7.3
30,21.3,96.8,2.0,74.8,B,6.8
31,33.9,110.7,3.5,85.9,A,7.5
32,26.8,103.4,2.6,79.6,B,7.1
33,30.4,106.6,3.0,82.2,A,7.3
34,25.1,101.8,2.5,78.7,B,7.0
35,36.3,113.2,3.8,87.2,A,7.6
36,23.5,99.7,2.3,77.4,B,6.9
37,31.2,108.4,3.2,83.6,A,7.4
38,28.7,105.1,2.8,81.0,B,7.2
39,34.1,111.2,3.6,86.4,A,7.5
40,24.3,100.5,2.4,78.0,B,7.0
41,29.7,106.3,2.9,81.9,A,7.3
42,32.6,109.8,3.3,84.5,B,7.4
43,27.9,104.8,2.7,80.5,A,7.2
44,22.2,97.6,2.1,75.6,B,6.9
45,37.1,115.3,3.9,88.4,A,7.7
46,26.1,102.9,2.5,79.2,B,7.1
47,31.8,107.5,3.1,83.1,A,7.3
48,25.4,101.5,2.4,78.5,B,7.0
49,35.2,112.6,3.7,87.0,A,7.6
50,28.9,105.6,2.8,81.3,B,7.2
